year,mo,source_dataset,extent,area
1979,1,    NSIDC-0051,15.41,12.41
1980,1,    NSIDC-0051,14.86,11.94
1981,1,    NSIDC-0051,14.91,11.91
1982,1,    NSIDC-0051,15.18,12.19
1983,1,    NSIDC-0051,14.94,12.01
1984,1,    NSIDC-0051,14.47,11.68
1985,1,    NSIDC-0051,14.72,11.69
1986,1,    NSIDC-0051,14.89,11.88
1987,1,    NSIDC-0051,14.97,11.9
1989,1,    NSIDC-0051,14.95,13.18
1990,1,    NSIDC-0051,14.78,12.8
1991,1,    NSIDC-0051,14.36,12.57
1992,1,    NSIDC-0051,14.64,12.61
1993,1,    NSIDC-0051,14.9,12.93
1994,1,    NSIDC-0051,14.73,12.88
1995,1,    NSIDC-0051,14.59,12.79
1996,1,    NSIDC-0051,14.18,12.15
1997,1,    NSIDC-0051,14.42,12.39
1998,1,    NSIDC-0051,14.72,12.81
1999,1,    NSIDC-0051,14.36,12.6
2000,1,    NSIDC-0051,14.22,12.3
2001,1,    NSIDC-0051,14.2,12.35
2002,1,    NSIDC-0051,14.27,12.26
2003,1,    NSIDC-0051,14.39,12.29
2004,1,    NSIDC-0051,14.03,12.26
2005,1,    NSIDC-0051,13.66,11.92
2006,1,    NSIDC-0051,13.47,11.65
2007,1,    NSIDC-0051,13.7,11.86
2008,1,    NSIDC-0051,13.89,12.3
2009,1,    NSIDC-0051,13.91,12.32
2010,1,    NSIDC-0051,13.74,12.04
2011,1,    NSIDC-0051,13.46,11.83
2012,1,    NSIDC-0051,13.73,12.21
2013,1,    NSIDC-0051,13.7,12.02
2014,1,    NSIDC-0051,13.65,12.1
2015,1,    NSIDC-0051,13.6,12.17
2016,1,    NSIDC-0051,13.46,11.8
2017,1,    NSIDC-0051,13.19,11.37
2018,1,    NSIDC-0051,13.08,11.7
2019,1,    NSIDC-0051,13.57,12.14
2020,1,    NSIDC-0051,13.64,12.15
2021,1,    NSIDC-0051,13.5,11.75
2022,1,    NSIDC-0051,13.87,12.26
2023,1,    NSIDC-0051,13.36,11.88
2024,1,    NSIDC-0051,13.92,12.24
2025,1,    NSIDC-0803,13.11,11.49
2026,1,    NSIDC-0803,13.11,11.39
1979,2,    NSIDC-0051,16.18,13.18
1980,2,    NSIDC-0051,15.96,12.9
1981,2,    NSIDC-0051,15.6,12.53
1982,2,    NSIDC-0051,15.97,12.87
1983,2,    NSIDC-0051,16.01,12.94
1984,2,    NSIDC-0051,15.3,12.26
1985,2,    NSIDC-0051,15.47,12.48
1986,2,    NSIDC-0051,15.78,12.62
1987,2,    NSIDC-0051,16.05,13.02
1988,2,    NSIDC-0051,15.58,13.57
1989,2,    NSIDC-0051,15.5,13.36
1990,2,    NSIDC-0051,15.58,13.42
1991,2,    NSIDC-0051,15.25,13.22
1992,2,    NSIDC-0051,15.46,13.58
1993,2,    NSIDC-0051,15.69,13.61
1994,2,    NSIDC-0051,15.56,13.52
1995,2,    NSIDC-0051,15.23,13.37
1996,2,    NSIDC-0051,15.15,12.98
1997,2,    NSIDC-0051,15.44,13.44
1998,2,    NSIDC-0051,15.75,13.77
1999,2,    NSIDC-0051,15.31,13.45
2000,2,    NSIDC-0051,15.14,13.09
2001,2,    NSIDC-0051,15.21,13.22
2002,2,    NSIDC-0051,15.34,13.42
2003,2,    NSIDC-0051,15.19,13.23
2004,2,    NSIDC-0051,14.91,12.94
2005,2,    NSIDC-0051,14.37,12.35
2006,2,    NSIDC-0051,14.32,12.35
2007,2,    NSIDC-0051,14.51,12.58
2008,2,    NSIDC-0051,14.95,13.21
2009,2,    NSIDC-0051,14.81,13.21
2010,2,    NSIDC-0051,14.58,12.96
2011,2,    NSIDC-0051,14.36,12.76
2012,2,    NSIDC-0051,14.55,12.72
2013,2,    NSIDC-0051,14.72,13.2
2014,2,    NSIDC-0051,14.42,12.56
2015,2,    NSIDC-0051,14.4,12.85
2016,2,    NSIDC-0051,14.2,12.43
2017,2,    NSIDC-0051,14.12,12.32
2018,2,    NSIDC-0051,13.97,12.31
2019,2,    NSIDC-0051,14.39,12.76
2020,2,    NSIDC-0051,14.64,12.95
2021,2,    NSIDC-0051,14.39,12.76
2022,2,    NSIDC-0051,14.61,12.9
2023,2,    NSIDC-0051,14.19,12.61
2024,2,    NSIDC-0051,14.61,12.76
2025,2,    NSIDC-0803,13.75,11.76
1979,3,    NSIDC-0051,16.34,13.21
1980,3,    NSIDC-0051,16.04,12.99
1981,3,    NSIDC-0051,15.63,12.71
1982,3,    NSIDC-0051,16.04,13.07
1983,3,    NSIDC-0051,16.09,12.93
1984,3,    NSIDC-0051,15.58,12.55
1985,3,    NSIDC-0051,15.89,12.75
1986,3,    NSIDC-0051,15.91,12.72
1987,3,    NSIDC-0051,15.82,12.83
1988,3,    NSIDC-0051,15.96,13.9
1989,3,    NSIDC-0051,15.42,13.21
1990,3,    NSIDC-0051,15.87,13.51
1991,3,    NSIDC-0051,15.42,13.42
1992,3,    NSIDC-0051,15.48,13.48
1993,3,    NSIDC-0051,15.81,13.77
1994,3,    NSIDC-0051,15.55,13.55
1995,3,    NSIDC-0051,15.26,13.34
1996,3,    NSIDC-0051,15.12,12.9
1997,3,    NSIDC-0051,15.47,13.3
1998,3,    NSIDC-0051,15.6,13.57
1999,3,    NSIDC-0051,15.4,13.54
2000,3,    NSIDC-0051,15.22,13.17
2001,3,    NSIDC-0051,15.52,13.64
2002,3,    NSIDC-0051,15.35,13.42
2003,3,    NSIDC-0051,15.48,13.42
2004,3,    NSIDC-0051,14.99,12.99
2005,3,    NSIDC-0051,14.69,12.74
2006,3,    NSIDC-0051,14.42,12.52
2007,3,    NSIDC-0051,14.54,12.56
2008,3,    NSIDC-0051,15.18,13.53
2009,3,    NSIDC-0051,14.98,13.43
2010,3,    NSIDC-0051,15.14,13.53
2011,3,    NSIDC-0051,14.55,12.83
2012,3,    NSIDC-0051,15.2,13.41
2013,3,    NSIDC-0051,15.03,13.45
2014,3,    NSIDC-0051,14.76,12.95
2015,3,    NSIDC-0051,14.37,12.78
2016,3,    NSIDC-0051,14.4,12.61
2017,3,    NSIDC-0051,14.29,12.61
2018,3,    NSIDC-0051,14.3,12.69
2019,3,    NSIDC-0051,14.57,12.89
2020,3,    NSIDC-0051,14.73,13.03
2021,3,    NSIDC-0051,14.66,12.99
2022,3,    NSIDC-0051,14.59,12.8
2023,3,    NSIDC-0051,14.43,12.91
2024,3,    NSIDC-0051,14.87,13.19
2025,3,    NSIDC-0803,14.12,12.19
1979,4,    NSIDC-0051,15.45,12.53
1980,4,    NSIDC-0051,15.43,12.52
1981,4,    NSIDC-0051,15.01,12.24
1982,4,    NSIDC-0051,15.47,12.63
1983,4,    NSIDC-0051,15.17,12.21
1984,4,    NSIDC-0051,15.01,12.18
1985,4,    NSIDC-0051,15.36,12.54
1986,4,    NSIDC-0051,15.06,12.04
1987,4,    NSIDC-0051,15.21,12.35
1988,4,    NSIDC-0051,15.12,13.18
1989,4,    NSIDC-0051,14.33,12.36
1990,4,    NSIDC-0051,14.65,12.28
1991,4,    NSIDC-0051,14.86,12.87
1992,4,    NSIDC-0051,14.68,12.84
1993,4,    NSIDC-0051,15.08,13.03
1994,4,    NSIDC-0051,14.89,12.91
1995,4,    NSIDC-0051,14.45,12.4
1996,4,    NSIDC-0051,14.22,12.32
1997,4,    NSIDC-0051,14.56,12.57
1998,4,    NSIDC-0051,14.89,12.85
1999,4,    NSIDC-0051,15.08,13.15
2000,4,    NSIDC-0051,14.56,12.6
2001,4,    NSIDC-0051,14.86,13.05
2002,4,    NSIDC-0051,14.3,12.41
2003,4,    NSIDC-0051,14.51,12.46
2004,4,    NSIDC-0051,13.99,12.16
2005,4,    NSIDC-0051,14.09,12.23
2006,4,    NSIDC-0051,13.91,12.04
2007,4,    NSIDC-0051,13.85,11.83
2008,4,    NSIDC-0051,14.35,12.78
2009,4,    NSIDC-0051,14.5,12.92
2010,4,    NSIDC-0051,14.66,12.85
2011,4,    NSIDC-0051,14.11,12.45
2012,4,    NSIDC-0051,14.63,12.87
2013,4,    NSIDC-0051,14.3,12.75
2014,4,    NSIDC-0051,14.09,12.43
2015,4,    NSIDC-0051,13.89,12.33
2016,4,    NSIDC-0051,13.68,11.98
2017,4,    NSIDC-0051,13.75,12.26
2018,4,    NSIDC-0051,13.7,12.28
2019,4,    NSIDC-0051,13.43,11.9
2020,4,    NSIDC-0051,13.62,12.02
2021,4,    NSIDC-0051,13.79,12.18
2022,4,    NSIDC-0051,13.99,12.46
2023,4,    NSIDC-0051,13.92,12.53
2024,4,    NSIDC-0051,14.04,12.56
2025,4,    NSIDC-0803,13.83,12.05
1979,5,    NSIDC-0051,13.86,11.11
1980,5,    NSIDC-0051,13.79,10.96
1981,5,    NSIDC-0051,13.8,10.99
1982,5,    NSIDC-0051,13.97,11.17
1983,5,    NSIDC-0051,13.49,10.87
1984,5,    NSIDC-0051,13.58,10.88
1985,5,    NSIDC-0051,14.07,11.25
1986,5,    NSIDC-0051,13.38,10.7
1987,5,    NSIDC-0051,13.74,10.97
1988,5,    NSIDC-0051,13.56,11.41
1989,5,    NSIDC-0051,13.04,11.35
1990,5,    NSIDC-0051,13.23,10.9
1991,5,    NSIDC-0051,13.47,11.5
1992,5,    NSIDC-0051,13.22,11.43
1993,5,    NSIDC-0051,13.37,11.42
1994,5,    NSIDC-0051,13.62,11.66
1995,5,    NSIDC-0051,12.97,10.9
1996,5,    NSIDC-0051,13.09,11.28
1997,5,    NSIDC-0051,13.18,11.24
1998,5,    NSIDC-0051,13.59,11.4
1999,5,    NSIDC-0051,13.75,11.66
2000,5,    NSIDC-0051,13.15,11.24
2001,5,    NSIDC-0051,13.51,11.38
2002,5,    NSIDC-0051,12.97,11.16
2003,5,    NSIDC-0051,13.02,10.89
2004,5,    NSIDC-0051,12.56,10.92
2005,5,    NSIDC-0051,12.91,10.88
2006,5,    NSIDC-0051,12.52,10.45
2007,5,    NSIDC-0051,12.78,10.77
2008,5,    NSIDC-0051,12.97,11.25
2009,5,    NSIDC-0051,13.19,11.48
2010,5,    NSIDC-0051,12.87,10.88
2011,5,    NSIDC-0051,12.68,10.74
2012,5,    NSIDC-0051,13.01,11.05
2013,5,    NSIDC-0051,13,11.25
2014,5,    NSIDC-0051,12.7,11.05
2015,5,    NSIDC-0051,12.47,10.9
2016,5,    NSIDC-0051,11.92,10.25
2017,5,    NSIDC-0051,12.63,11.01
2018,5,    NSIDC-0051,12.23,10.81
2019,5,    NSIDC-0051,12.19,10.5
2020,5,    NSIDC-0051,12.34,10.51
2021,5,    NSIDC-0051,12.68,10.86
2022,5,    NSIDC-0051,12.88,11.1
2023,5,    NSIDC-0051,12.82,11.05
2024,5,    NSIDC-0051,12.74,11.07
2025,5,    NSIDC-0803,12.49,10.28
1979,6,    NSIDC-0051,12.53,9.34
1980,6,    NSIDC-0051,12.2,9
1981,6,    NSIDC-0051,12.43,9.03
1982,6,    NSIDC-0051,12.48,9.46
1983,6,    NSIDC-0051,12.3,9.27
1984,6,    NSIDC-0051,12.15,9.09
1985,6,    NSIDC-0051,12.22,8.96
1986,6,    NSIDC-0051,11.98,8.99
1987,6,    NSIDC-0051,12.49,9.39
1988,6,    NSIDC-0051,11.94,9.68
1989,6,    NSIDC-0051,12.24,9.95
1990,6,    NSIDC-0051,11.64,9.2
1991,6,    NSIDC-0051,12.11,9.66
1992,6,    NSIDC-0051,12.15,9.95
1993,6,    NSIDC-0051,11.87,9.26
1994,6,    NSIDC-0051,12.02,9.68
1995,6,    NSIDC-0051,11.44,8.94
1996,6,    NSIDC-0051,12.08,9.83
1997,6,    NSIDC-0051,11.74,9.2
1998,6,    NSIDC-0051,11.71,9.18
1999,6,    NSIDC-0051,11.78,9.25
2000,6,    NSIDC-0051,11.67,9.05
2001,6,    NSIDC-0051,11.46,9.09
2002,6,    NSIDC-0051,11.58,9.19
2003,6,    NSIDC-0051,11.6,9.11
2004,6,    NSIDC-0051,11.45,9.24
2005,6,    NSIDC-0051,11.16,8.81
2006,6,    NSIDC-0051,10.92,8.41
2007,6,    NSIDC-0051,11.22,8.21
2008,6,    NSIDC-0051,11.21,8.85
2009,6,    NSIDC-0051,11.32,9.25
2010,6,    NSIDC-0051,10.59,8.37
2011,6,    NSIDC-0051,10.75,8.54
2012,6,    NSIDC-0051,10.67,8.16
2013,6,    NSIDC-0051,11.36,8.95
2014,6,    NSIDC-0051,11.03,8.76
2015,6,    NSIDC-0051,10.88,8.7
2016,6,    NSIDC-0051,10.41,8.21
2017,6,    NSIDC-0051,10.76,8.63
2018,6,    NSIDC-0051,10.78,8.79
2019,6,    NSIDC-0051,10.59,8.32
2020,6,    NSIDC-0051,10.59,8.41
2021,6,    NSIDC-0051,10.77,8.39
2022,6,    NSIDC-0051,10.88,8.61
2023,6,    NSIDC-0051,10.99,8.69
2024,6,    NSIDC-0051,10.85,8.6
2025,6,    NSIDC-0803,10.4,8.15
1979,7,    NSIDC-0051,10.31,6.69
1980,7,    NSIDC-0051,10.1,6.53
1981,7,    NSIDC-0051,10.27,6.31
1982,7,    NSIDC-0051,10.37,6.87
1983,7,    NSIDC-0051,10.57,6.86
1984,7,    NSIDC-0051,9.98,6.3
1985,7,    NSIDC-0051,9.74,5.99
1986,7,    NSIDC-0051,10.15,6.62
1987,7,    NSIDC-0051,10.33,6.55
1988,7,    NSIDC-0051,9.81,7.01
1989,7,    NSIDC-0051,10.13,7.33
1990,7,    NSIDC-0051,9.25,6.52
1991,7,    NSIDC-0051,9.51,6.76
1992,7,    NSIDC-0051,10.32,7.22
1993,7,    NSIDC-0051,9.48,6.28
1994,7,    NSIDC-0051,9.93,6.92
1995,7,    NSIDC-0051,8.99,6.16
1996,7,    NSIDC-0051,10.16,7.44
1997,7,    NSIDC-0051,9.41,6.5
1998,7,    NSIDC-0051,9.42,6.45
1999,7,    NSIDC-0051,9.49,6.55
2000,7,    NSIDC-0051,9.51,6.39
2001,7,    NSIDC-0051,9.07,6.29
2002,7,    NSIDC-0051,9.27,6.44
2003,7,    NSIDC-0051,9.21,6.15
2004,7,    NSIDC-0051,9.43,6.51
2005,7,    NSIDC-0051,8.65,5.9
2006,7,    NSIDC-0051,8.46,5.79
2007,7,    NSIDC-0051,7.94,5.13
2008,7,    NSIDC-0051,8.68,6.06
2009,7,    NSIDC-0051,8.47,6.12
2010,7,    NSIDC-0051,8.07,5.57
2011,7,    NSIDC-0051,7.72,5.4
2012,7,    NSIDC-0051,7.67,5.09
2013,7,    NSIDC-0051,8.13,5.81
2014,7,    NSIDC-0051,8.11,5.96
2015,7,    NSIDC-0051,8.38,5.66
2016,7,    NSIDC-0051,7.94,5.37
2017,7,    NSIDC-0051,7.94,5.65
2018,7,    NSIDC-0051,8.27,5.76
2019,7,    NSIDC-0051,7.59,5.13
2020,7,    NSIDC-0051,7.29,5.07
2021,7,    NSIDC-0051,7.65,5.53
2022,7,    NSIDC-0051,8.29,5.89
2023,7,    NSIDC-0051,8.21,5.54
2024,7,    NSIDC-0051,7.87,5.16
2025,7,    NSIDC-0803,7.66,5.17
1979,8,    NSIDC-0051,8.04,5.06
1980,8,    NSIDC-0051,7.98,4.94
1981,8,    NSIDC-0051,7.84,4.48
1982,8,    NSIDC-0051,8.14,5
1983,8,    NSIDC-0051,8.19,4.97
1984,8,    NSIDC-0051,7.77,4.68
1985,8,    NSIDC-0051,7.4,4.6
1986,8,    NSIDC-0051,7.98,5.01
1988,8,    NSIDC-0051,7.89,5.42
1989,8,    NSIDC-0051,7.88,5.56
1990,8,    NSIDC-0051,6.8,4.99
1991,8,    NSIDC-0051,7.42,5.21
1992,8,    NSIDC-0051,7.93,5.44
1993,8,    NSIDC-0051,7.33,4.76
1994,8,    NSIDC-0051,7.64,5.19
1995,8,    NSIDC-0051,6.74,4.69
1996,8,    NSIDC-0051,8.18,5.73
1997,8,    NSIDC-0051,7.29,5.09
1998,8,    NSIDC-0051,7.51,4.69
1999,8,    NSIDC-0051,7.23,4.75
2000,8,    NSIDC-0051,7.17,4.78
2001,8,    NSIDC-0051,7.46,4.94
2002,8,    NSIDC-0051,6.6,4.32
2003,8,    NSIDC-0051,6.94,4.52
2004,8,    NSIDC-0051,6.85,4.67
2005,8,    NSIDC-0051,6.3,4.21
2006,8,    NSIDC-0051,6.5,4.31
2007,8,    NSIDC-0051,5.34,3.19
2008,8,    NSIDC-0051,5.91,3.79
2009,8,    NSIDC-0051,6.14,4.16
2010,8,    NSIDC-0051,5.87,3.88
2011,8,    NSIDC-0051,5.5,3.38
2012,8,    NSIDC-0051,4.72,2.93
2013,8,    NSIDC-0051,6.01,4.17
2014,8,    NSIDC-0051,6.08,4.37
2015,8,    NSIDC-0051,5.6,3.63
2016,8,    NSIDC-0051,5.37,3.31
2017,8,    NSIDC-0051,5.48,3.64
2018,8,    NSIDC-0051,5.61,3.9
2019,8,    NSIDC-0051,5.03,3.24
2020,8,    NSIDC-0051,5.07,3.1
2021,8,    NSIDC-0051,5.71,3.78
2022,8,    NSIDC-0051,5.95,4.03
2023,8,    NSIDC-0051,5.51,3.52
2024,8,    NSIDC-0051,5.13,3.09
2025,8,    NSIDC-0803,5.39,3.33
1979,9,    NSIDC-0051,7.05,4.58
1980,9,    NSIDC-0051,7.67,4.87
1981,9,    NSIDC-0051,7.14,4.44
1982,9,    NSIDC-0051,7.3,4.43
1983,9,    NSIDC-0051,7.39,4.7
1984,9,    NSIDC-0051,6.81,4.11
1985,9,    NSIDC-0051,6.7,4.23
1986,9,    NSIDC-0051,7.41,4.72
1987,9,    NSIDC-0051,7.28,5.64
1988,9,    NSIDC-0051,7.37,5.36
1989,9,    NSIDC-0051,7.01,4.86
1990,9,    NSIDC-0051,6.14,4.55
1991,9,    NSIDC-0051,6.47,4.51
1992,9,    NSIDC-0051,7.47,5.43
1993,9,    NSIDC-0051,6.4,4.58
1994,9,    NSIDC-0051,7.14,5.13
1995,9,    NSIDC-0051,6.08,4.43
1996,9,    NSIDC-0051,7.58,5.62
1997,9,    NSIDC-0051,6.69,4.89
1998,9,    NSIDC-0051,6.54,4.3
1999,9,    NSIDC-0051,6.12,4.29
2000,9,    NSIDC-0051,6.25,4.35
2001,9,    NSIDC-0051,6.73,4.59
2002,9,    NSIDC-0051,5.83,4.03
2003,9,    NSIDC-0051,6.12,4.05
2004,9,    NSIDC-0051,5.98,4.39
2005,9,    NSIDC-0051,5.5,4.07
2006,9,    NSIDC-0051,5.86,4.01
2007,9,    NSIDC-0051,4.27,2.82
2008,9,    NSIDC-0051,4.69,3.26
2009,9,    NSIDC-0051,5.26,3.76
2010,9,    NSIDC-0051,4.87,3.34
2011,9,    NSIDC-0051,4.56,3.21
2012,9,    NSIDC-0051,3.57,2.41
2013,9,    NSIDC-0051,5.21,3.78
2014,9,    NSIDC-0051,5.22,3.74
2015,9,    NSIDC-0051,4.62,3.42
2016,9,    NSIDC-0051,4.53,2.91
2017,9,    NSIDC-0051,4.82,3.35
2018,9,    NSIDC-0051,4.79,3.35
2019,9,    NSIDC-0051,4.36,3.17
2020,9,    NSIDC-0051,4,2.83
2021,9,    NSIDC-0051,4.95,3.47
2022,9,    NSIDC-0051,4.9,3.47
2023,9,    NSIDC-0051,4.38,2.83
2024,9,    NSIDC-0051,4.35,2.91
2025,9,    NSIDC-0803,4.75,3.08
1979,10,    NSIDC-0051,8.75,6.19
1980,10,    NSIDC-0051,9.18,6.5
1981,10,    NSIDC-0051,8.86,6.27
1982,10,    NSIDC-0051,9.42,6.67
1983,10,    NSIDC-0051,9.33,6.79
1984,10,    NSIDC-0051,8.56,5.91
1985,10,    NSIDC-0051,8.55,6.12
1986,10,    NSIDC-0051,9.48,6.83
1987,10,    NSIDC-0051,9.05,7.49
1988,10,    NSIDC-0051,9.13,7.52
1989,10,    NSIDC-0051,8.83,6.96
1990,10,    NSIDC-0051,8.48,6.74
1991,10,    NSIDC-0051,8.54,6.75
1992,10,    NSIDC-0051,9.32,7.74
1993,10,    NSIDC-0051,8.79,7.06
1994,10,    NSIDC-0051,8.92,7.23
1995,10,    NSIDC-0051,7.83,5.99
1996,10,    NSIDC-0051,9.16,7.54
1997,10,    NSIDC-0051,8.34,6.47
1998,10,    NSIDC-0051,8.45,6.71
1999,10,    NSIDC-0051,8.6,6.83
2000,10,    NSIDC-0051,8.38,6.69
2001,10,    NSIDC-0051,8.3,6.65
2002,10,    NSIDC-0051,8.16,6.24
2003,10,    NSIDC-0051,7.85,5.98
2004,10,    NSIDC-0051,7.93,6.4
2005,10,    NSIDC-0051,7.35,5.78
2006,10,    NSIDC-0051,7.54,5.8
2007,10,    NSIDC-0051,6.04,4.33
2008,10,    NSIDC-0051,7.35,5.77
2009,10,    NSIDC-0051,6.92,5.24
2010,10,    NSIDC-0051,6.98,5.48
2011,10,    NSIDC-0051,6.46,5.02
2012,10,    NSIDC-0051,5.89,4.58
2013,10,    NSIDC-0051,7.45,5.95
2014,10,    NSIDC-0051,7.23,5.7
2015,10,    NSIDC-0051,6.97,5.49
2016,10,    NSIDC-0051,6.08,4.4
2017,10,    NSIDC-0051,6.77,5.3
2018,10,    NSIDC-0051,6.13,4.59
2019,10,    NSIDC-0051,5.73,4.53
2020,10,    NSIDC-0051,5.33,4.11
2021,10,    NSIDC-0051,6.82,5.43
2022,10,    NSIDC-0051,6.66,5.25
2023,10,    NSIDC-0051,6.41,4.88
2024,10,    NSIDC-0051,5.93,4.54
2025,10,    NSIDC-0803,6.32,4.69
1978,11,    NSIDC-0051,11.65,9.04
1979,11,    NSIDC-0051,10.94,8.37
1980,11,    NSIDC-0051,11.38,8.73
1981,11,    NSIDC-0051,10.93,8.31
1982,11,    NSIDC-0051,11.63,9.06
1983,11,    NSIDC-0051,11.46,8.99
1984,11,    NSIDC-0051,10.84,8.24
1985,11,    NSIDC-0051,11.02,8.42
1986,11,    NSIDC-0051,11.45,8.87
1987,11,    NSIDC-0051,11.22,9.73
1988,11,    NSIDC-0051,11.33,9.91
1989,11,    NSIDC-0051,11.12,9.46
1990,11,    NSIDC-0051,11.08,9.64
1991,11,    NSIDC-0051,10.88,9.25
1992,11,    NSIDC-0051,11.38,9.75
1993,11,    NSIDC-0051,11.32,9.54
1994,11,    NSIDC-0051,11.12,9.71
1995,11,    NSIDC-0051,10.76,9.03
1996,11,    NSIDC-0051,10.4,8.77
1997,11,    NSIDC-0051,10.68,9.07
1998,11,    NSIDC-0051,10.44,8.88
1999,11,    NSIDC-0051,10.8,9.26
2000,11,    NSIDC-0051,10.32,8.87
2001,11,    NSIDC-0051,10.66,9.08
2002,11,    NSIDC-0051,10.34,8.75
2003,11,    NSIDC-0051,10.13,8.57
2004,11,    NSIDC-0051,10.34,8.95
2005,11,    NSIDC-0051,10.22,8.8
2006,11,    NSIDC-0051,9.66,8.13
2007,11,    NSIDC-0051,9.76,8.06
2008,11,    NSIDC-0051,10.34,9.05
2009,11,    NSIDC-0051,9.77,8.36
2010,11,    NSIDC-0051,9.61,8.43
2011,11,    NSIDC-0051,9.77,8.52
2012,11,    NSIDC-0051,9.39,8.06
2013,11,    NSIDC-0051,9.94,8.66
2014,11,    NSIDC-0051,10.11,8.75
2015,11,    NSIDC-0051,9.85,8.48
2016,11,    NSIDC-0051,8.66,7.01
2017,11,    NSIDC-0051,9.49,8.08
2018,11,    NSIDC-0051,9.82,8.43
2019,11,    NSIDC-0051,9.35,7.98
2020,11,    NSIDC-0051,8.99,7.53
2021,11,    NSIDC-0051,9.83,8.57
2022,11,    NSIDC-0051,9.73,8.52
2023,11,    NSIDC-0051,9.68,8.3
2024,11,    NSIDC-0051,9.15,7.74
2025,11,    NSIDC-0803,8.77,7.36
1978,12,    NSIDC-0051,13.67,10.9
1979,12,    NSIDC-0051,13.34,10.63
1980,12,    NSIDC-0051,13.59,10.78
1981,12,    NSIDC-0051,13.34,10.54
1982,12,    NSIDC-0051,13.64,10.88
1983,12,    NSIDC-0051,13.3,10.63
1984,12,    NSIDC-0051,12.99,10.27
1985,12,    NSIDC-0051,13.05,10.24
1986,12,    NSIDC-0051,13.22,10.53
1988,12,    NSIDC-0051,13.63,11.99
1989,12,    NSIDC-0051,13.39,11.61
1990,12,    NSIDC-0051,13.11,11.47
1991,12,    NSIDC-0051,12.95,11.19
1992,12,    NSIDC-0051,13.41,11.72
1993,12,    NSIDC-0051,13.32,11.48
1994,12,    NSIDC-0051,13.27,11.49
1995,12,    NSIDC-0051,12.92,11.09
1996,12,    NSIDC-0051,12.86,11.03
1997,12,    NSIDC-0051,13.08,11.24
1998,12,    NSIDC-0051,12.76,10.91
1999,12,    NSIDC-0051,12.64,10.99
2000,12,    NSIDC-0051,12.64,10.96
2001,12,    NSIDC-0051,12.49,10.55
2002,12,    NSIDC-0051,12.61,10.64
2003,12,    NSIDC-0051,12.59,10.8
2004,12,    NSIDC-0051,12.55,10.98
2005,12,    NSIDC-0051,12.23,10.56
2006,12,    NSIDC-0051,11.95,10.17
2007,12,    NSIDC-0051,12.03,10.18
2008,12,    NSIDC-0051,12.36,10.97
2009,12,    NSIDC-0051,12.2,10.59
2010,12,    NSIDC-0051,11.83,10.43
2011,12,    NSIDC-0051,12.15,10.63
2012,12,    NSIDC-0051,12.01,10.45
2013,12,    NSIDC-0051,12.18,10.87
2014,12,    NSIDC-0051,12.35,10.89
2015,12,    NSIDC-0051,12.04,10.64
2016,12,    NSIDC-0051,11.46,9.62
2017,12,    NSIDC-0051,11.74,10.26
2018,12,    NSIDC-0051,11.86,10.45
2019,12,    NSIDC-0051,11.9,10.52
2020,12,    NSIDC-0051,11.73,10.16
2021,12,    NSIDC-0051,12.15,10.74
2022,12,    NSIDC-0051,11.89,10.27
2023,12,    NSIDC-0051,11.98,10.34
2024,12,    NSIDC-0051,11.41,10.03
2025,12,    NSIDC-0803,11.22,9.6